t,cost
158.34374279000002,17069.174962835947
158.553955339,17069.663830880734
158.739252857,17069.77692997445
158.95581093200002,17070.266369915014
159.15285844800002,17070.79411012426
159.344528964,17070.79411012426
159.565323522,17071.3251731394
159.746197501,17071.603846157563
159.946304266,17071.884588440735
160.14020923,17072.44929524612
160.34808814500002,17072.44929524612
160.544679174,17073.174960853066
160.74480138,17073.75541343695
160.952248759,17073.75541343695
161.14791832600002,17074.207910103418
161.34336719200002,17075.068894603974
161.54557934500002,17075.068894603974
161.75912456,17075.820038912512
161.947571315,17076.56634791232
162.14290515800002,17076.56634791232
162.35352416700002,17077.528445701482
162.544234573,17078.319025223667
162.74389451300001,17078.319025223667
162.94945665600002,17079.12065482447
163.15491413400002,17079.710079313852
163.343549059,17079.710079313852
163.561208765,17080.687263906533
163.75333048200002,17081.28058058239
163.965481841,17081.46981098761
164.14766065400002,17082.24331785961
164.339465528,17082.24331785961
164.549453196,17082.819385399685
164.74325615400002,17083.905334088737
164.95061500100002,17083.905334088737
165.15906148300002,17084.439915807176
165.344582903,17085.12634563367
165.54313282500001,17085.12634563367
165.760873123,17085.93612069292
165.94101305400002,17086.61770558973
166.164511188,17086.61770558973
166.348098058,17087.347287213273
166.554058649,17087.94937931264
166.741888265,17088.141920986152
166.94643781000002,17088.943734955992
167.145574118,17088.943734955992
167.36775085600001,17089.72887673668
167.55100065800002,17090.70542260325
167.749187432,17090.70542260325
167.954926671,17091.53808717802
168.14296681300002,17092.400370177267
168.34099633000002,17092.400370177267
168.53781919300002,17093.499542020494
168.75418806800002,17094.205846533147
168.94307748300002,17094.205846533147
169.155395849,17095.21278591339
169.350210467,17096.261075068065
169.54804825300002,17096.261075068065
169.74058300800002,17097.616133918327
169.977452115,17098.170463340917
170.15779067600002,17098.720130424044
170.352851299,17099.55511939035
170.554052246,17100.64904516256
170.75628105,17100.64904516256
170.947133909,17102.031458960137
171.15063144,17102.295295730062
171.351576443,17103.155409588682
171.556440629,17104.34478340324
171.776706283,17104.34478340324
171.95167699400002,17105.876276817162
172.147983743,17106.85801620294
172.351180634,17106.85801620294
172.56805431200002,17108.172736555487
172.750667064,17109.828676265504
172.95588897500002,17109.828676265504
173.170685114,17111.145696545944
173.364774716,17112.415579866738
173.55534321300001,17112.415579866738
173.743330829,17114.01843178056
173.95962079100002,17114.354107988667
174.15727971500002,17115.00142643678
